"Date,CaloriesBurned"
"2022-11-30,515.2840000000009"
"2022-12-01,574.3299999999994"
"2022-12-02,401.78200000000027"
"2022-12-03,306.4339999999993"
"2022-12-04,365.54400000000044"
"2022-12-05,486.4340000000003"
"2022-12-06,541.8960000000003"
"2022-12-07,501.1130000000004"
"2022-12-08,453.7560000000005"
"2022-12-09,539.5919999999986"
"2022-12-10,233.07399999999993"
"2022-12-11,462.35299999999944"
"2022-12-12,304.9329999999999"
"2022-12-13,482.4850000000002"
"2022-12-14,647.1109999999985"
"2022-12-15,505.4859999999998"
"2022-12-16,251.97499999999982"
"2022-12-17,367.4809999999998"
"2022-12-18,330.29800000000006"
"2022-12-19,479.16799999999944"
"2022-12-20,485.7370000000007"
"2022-12-21,625.3339999999969"
"2022-12-22,600.7059999999979"
"2022-12-23,335.00100000000003"
