Date,AvgTemp,AvgWindSpeed,TotalRain
2022-04-01,18.4925,3.87625,0.0
2022-04-02,16.769166666666667,7.737916666666667,0.0
2022-04-03,12.696800000000001,6.1524,4.87
2022-04-04,9.594166666666666,4.972083333333333,5.23
2022-04-05,9.7575,3.4299999999999997,3.75
2022-04-06,10.62375,4.0025,0.0
2022-04-07,12.48076923076923,3.696923076923077,13.14
2022-04-08,13.711666666666666,3.8837499999999996,0.8899999999999999
2022-04-09,16.959166666666665,3.31375,0.0
2022-04-10,17.485416666666666,4.385416666666667,1.29
2022-04-11,8.036666666666667,5.29375,9.97
2022-04-12,8.980416666666667,3.0054166666666666,1.1400000000000001
2022-04-13,8.695416666666667,2.0570833333333334,0.0
2022-04-14,11.042499999999999,2.8466666666666662,0.0
2022-04-15,13.147916666666667,3.76375,0.0
2022-04-16,14.409166666666666,2.1925,0.0
2022-04-17,11.284999999999998,7.116666666666667,13.52
2022-04-18,8.075135135135135,6.937567567567568,14.459999999999999
2022-04-19,6.695416666666667,4.3933333333333335,7.15
2022-04-20,10.799166666666666,2.2695833333333333,0.0
2022-04-21,11.346666666666666,1.7358333333333331,2.56
2022-04-22,15.780416666666667,2.5383333333333336,0.0
2022-04-23,17.355416666666667,2.2775000000000003,0.0
2022-04-24,17.626250000000002,3.6845833333333338,0.0
2022-04-25,15.5375,2.5875,0.0
2022-04-26,18.48875,3.639583333333333,0.0
2022-04-27,15.737916666666669,6.687083333333334,0.0
2022-04-28,14.6825,6.3566666666666665,0.0
2022-04-29,14.500833333333333,6.858750000000001,0.0
2022-04-30,12.573749999999999,5.850833333333333,0.15
2022-05-01,13.739166666666668,5.8308333333333335,0.0
2022-05-02,13.848333333333334,8.080833333333333,1.81
2022-05-03,11.342592592592593,4.972222222222222,3.26
2022-05-04,11.112916666666665,3.2154166666666666,2.63
2022-05-05,12.261666666666668,3.5795833333333333,0.0
2022-05-06,12.943333333333333,4.373333333333333,0.0
2022-05-07,13.355833333333335,5.03,0.0
2022-05-08,13.162083333333333,6.875416666666666,0.0
2022-05-09,12.788333333333334,6.794583333333333,0.0
2022-05-10,13.50625,6.836666666666667,0.0
2022-05-11,14.516666666666666,4.93,0.0
2022-05-12,17.41875,2.9554166666666664,0.0
2022-05-13,18.919166666666666,2.7091666666666665,0.0
2022-05-14,19.908333333333335,3.3091666666666666,0.0
2022-05-15,18.65458333333333,3.11875,0.0
2022-05-16,18.85625,3.16,0.0
2022-05-17,19.27541666666667,1.7904166666666665,0.0
2022-05-18,15.706296296296296,6.778518518518519,10.75
2022-05-19,12.558750000000002,4.565833333333333,0.0
2022-05-20,15.270000000000001,5.037083333333333,0.0
2022-05-21,16.992083333333333,1.735,0.0
2022-05-22,19.573333333333334,3.3158333333333334,0.0
2022-05-23,18.120833333333334,3.879583333333333,0.26
2022-05-24,19.973333333333333,3.8158333333333334,0.55
2022-05-25,20.609583333333333,3.4949999999999997,0.4
2022-05-26,21.221666666666668,2.4883333333333333,0.0
2022-05-27,22.423750000000002,3.417083333333333,0.0
2022-05-28,23.710833333333337,2.9279166666666665,0.0
2022-05-29,26.391199999999998,4.1504,1.68
2022-05-30,25.01875,4.195833333333334,0.0
2022-05-31,22.650000000000002,5.25125,0.0
2022-06-01,21.902083333333334,5.2525,0.0
2022-06-02,21.34,6.002083333333334,0.0
2022-06-03,21.67,5.359166666666667,0.0
2022-06-04,21.84958333333333,4.861666666666667,0.0
2022-06-05,22.072083333333335,4.0183333333333335,0.0
2022-06-06,21.275833333333335,5.178333333333334,0.0
2022-06-07,19.55125,3.6845833333333338,0.0
2022-06-08,19.329583333333336,3.283333333333333,1.3900000000000001
2022-06-09,21.910416666666666,2.3833333333333333,0.0
2022-06-10,24.765833333333333,3.0325,0.53
2022-06-11,21.3856,3.5168,3.4
2022-06-12,20.524166666666666,2.9075,12.459999999999999
2022-06-13,21.33875,3.067083333333333,0.0
2022-06-14,22.57375,3.4945833333333334,0.0
2022-06-15,21.969583333333333,6.666250000000001,0.39
2022-06-16,21.388333333333335,7.233333333333333,0.0
2022-06-17,21.542916666666667,6.53875,0.0
2022-06-18,21.52916666666667,7.2875000000000005,0.0
2022-06-19,21.574166666666667,6.579166666666667,0.0
2022-06-20,21.2375,4.8654166666666665,0.56
2022-06-21,22.609583333333333,3.637083333333333,0.48
2022-06-22,25.045416666666668,3.6320833333333336,0.0
2022-06-23,23.19541666666667,3.52,0.0
2022-06-24,22.567083333333333,2.9995833333333333,1.66
2022-06-25,22.954583333333332,3.9,0.34
2022-06-26,21.98375,3.729583333333333,0.0
2022-06-27,22.194999999999997,3.387083333333333,4.82
2022-06-28,23.06625,5.1450000000000005,3.4499999999999997
2022-06-29,22.74791666666667,4.951666666666667,1.04
2022-06-30,22.645416666666666,5.38,0.0
2022-07-01,24.115416666666665,4.383333333333334,0.0
2022-07-02,24.462500000000002,6.34375,0.0
2022-07-03,23.349166666666665,8.080833333333333,0.0
2022-07-04,22.35625,7.202083333333333,0.0
2022-07-05,23.067083333333333,6.81625,0.0
2022-07-06,23.736666666666668,4.9783333333333335,0.0
2022-07-07,24.375416666666666,3.8166666666666664,0.0
2022-07-08,24.233333333333334,5.400833333333334,0.49
2022-07-09,23.54692307692308,5.292692307692307,4.58
2022-07-10,20.624285714285715,2.8810714285714285,11.77
2022-07-11,22.12291666666667,3.644166666666667,0.0
2022-07-12,22.381249999999998,5.4025,0.0
2022-07-13,22.32375,4.565416666666667,0.11
2022-07-14,23.079166666666666,6.344166666666666,0.0
2022-07-15,23.41208333333333,6.302916666666667,0.0
2022-07-16,24.010833333333334,5.1875,0.0
2022-07-17,24.58875,5.6375,0.0
2022-07-18,23.34958333333333,7.781666666666666,0.0
2022-07-19,22.181250000000002,7.0575,0.0
2022-07-20,23.015416666666667,6.9025,0.0
2022-07-21,23.425416666666667,3.28875,0.0
2022-07-22,23.749166666666667,3.60375,0.0
2022-07-23,25.174583333333334,3.470833333333333,0.0
2022-07-24,25.212500000000002,4.169583333333333,0.0
2022-07-25,25.006249999999998,5.745,0.0
2022-07-26,25.265833333333333,5.339166666666666,0.0
2022-07-27,25.668333333333333,6.365833333333334,0.0
2022-07-28,25.24416666666667,8.251666666666667,0.0
2022-07-29,25.30875,7.63,0.0
2022-07-30,25.851249999999997,6.0675,0.0
2022-07-31,26.32041666666667,5.5945833333333335,0.26
2022-08-01,25.792916666666667,4.35625,0.28
2022-08-02,24.655,5.4679166666666665,0.0
2022-08-03,24.72458333333333,5.7870833333333325,0.0
2022-08-04,25.276666666666667,6.967083333333334,0.0
2022-08-05,25.302083333333332,6.345416666666666,0.0
2022-08-06,25.68541666666667,6.666666666666667,0.0
2022-08-07,26.305833333333336,6.623333333333334,0.0
2022-08-08,26.86791666666667,7.459583333333334,0.11
2022-08-09,27.01875,6.430416666666667,0.0
2022-08-10,25.559583333333336,5.251666666666667,0.33
2022-08-11,23.645416666666666,5.6570833333333335,4.11
2022-08-12,24.095416666666665,4.609166666666667,0.33
2022-08-13,24.72875,5.639166666666667,0.0
2022-08-14,25.388333333333335,4.587083333333333,0.0
2022-08-15,22.467692307692307,2.3473076923076923,14.26
2022-08-16,25.639583333333334,2.3504166666666664,0.0
2022-08-17,25.996666666666666,2.245416666666667,0.0
2022-08-18,26.31458333333333,3.3375,0.0
2022-08-19,25.5325,3.9441666666666664,0.29000000000000004
2022-08-20,25.428749999999997,4.007916666666667,0.0
2022-08-21,26.05541666666667,5.7870833333333325,0.0
2022-08-22,26.66125,5.641666666666667,0.0
2022-08-23,26.986666666666668,5.036666666666666,0.0
2022-08-24,26.265416666666667,6.114999999999999,1.81
2022-08-25,22.97,1.9128,6.59
2022-08-26,24.4108,2.4688,0.22
2022-08-27,24.990416666666665,2.935833333333333,1.94
2022-08-28,25.655,4.164166666666667,0.0
2022-08-29,26.498333333333335,6.495416666666666,0.0
2022-08-30,27.054166666666664,5.572916666666667,0.0
2022-08-31,24.8475,3.4295833333333334,1.9900000000000002
2022-09-01,25.099166666666665,3.7720833333333332,1.7000000000000002
2022-09-02,26.18166666666667,3.45375,0.9
2022-09-03,24.226399999999998,4.3831999999999995,0.74
2022-09-04,22.3,5.915,0.73
2022-09-05,20.681250000000002,7.02625,1.92
2022-09-06,19.561666666666667,5.962083333333333,0.91
2022-09-07,20.901666666666667,7.287916666666667,0.0
2022-09-08,21.013749999999998,5.72375,0.0
2022-09-09,21.568749999999998,3.8695833333333334,0.0
2022-09-10,23.13416666666667,1.7591666666666665,0.0
2022-09-11,23.674583333333334,3.517916666666667,0.0
2022-09-12,20.085,3.5379166666666664,4.680000000000001
2022-09-13,18.8775,3.3220833333333335,2.08
2022-09-14,20.52375,2.07875,0.0
2022-09-15,23.219583333333333,2.6670833333333337,0.0
2022-09-16,25.982083333333335,3.2933333333333334,0.0
2022-09-17,26.009583333333335,2.23375,0.0
2022-09-18,22.352083333333336,5.229166666666667,9.76
2022-09-19,19.212500000000002,5.440416666666667,0.0
2022-09-20,17.469166666666666,5.425416666666667,0.0
2022-09-21,17.823333333333334,4.97,1.71
2022-09-22,13.57875,3.7725000000000004,27.86
2022-09-23,14.169166666666667,2.9579166666666663,2.6
2022-09-24,15.697916666666666,2.4795833333333333,0.0
2022-09-25,17.317916666666665,2.5608333333333335,0.0
2022-09-26,18.805833333333332,2.035833333333333,0.0
2022-09-27,21.285,3.7125,0.29000000000000004
2022-09-28,23.154583333333335,3.265416666666667,0.28
2022-09-29,23.39375,2.567083333333333,0.0
2022-09-30,23.88291666666667,2.0816666666666666,0.0
2022-10-01,23.41875,2.5829166666666663,0.0
2022-10-02,21.526,3.3316000000000003,9.36
2022-10-03,18.714166666666667,2.9141666666666666,0.28
2022-10-04,16.552083333333332,3.515,0.74
2022-10-05,15.341666666666667,5.015416666666667,1.04
2022-10-06,17.30333333333333,7.1575,0.0
2022-10-07,17.949166666666667,8.05875,2.7800000000000002
2022-10-08,17.899166666666666,4.415416666666666,1.6
2022-10-09,16.698333333333334,2.379166666666667,0.37
2022-10-10,16.92125,5.12375,0.0
2022-10-11,17.105,6.601666666666667,0.0
2022-10-12,16.83791666666667,5.937083333333334,0.0
2022-10-13,17.265416666666667,5.5945833333333335,0.0
2022-10-14,16.429166666666667,6.988333333333333,0.48
2022-10-15,15.442083333333334,5.872083333333333,3.49
2022-10-16,16.405,7.287916666666667,1.51
2022-10-17,17.121666666666666,7.05125,0.21000000000000002
2022-10-18,16.112083333333334,5.123333333333334,0.0
2022-10-19,15.236666666666666,3.515416666666667,0.0
2022-10-20,13.833333333333334,4.502083333333333,0.28
2022-10-21,12.43125,4.8825,0.0
2022-10-22,13.059583333333334,2.4225,0.0
2022-10-23,16.27625,3.2795833333333335,0.0
2022-10-24,15.93625,2.066666666666667,0.0
2022-10-25,16.120833333333334,1.46875,0.0
2022-10-26,16.4225,3.2358333333333333,0.0
2022-10-27,15.399166666666666,4.930416666666667,0.0
2022-10-28,14.86875,5.959166666666667,0.0
2022-10-29,13.960833333333333,4.961666666666667,0.0
2022-10-30,13.785416666666668,2.922083333333333,0.0
2022-10-31,13.936666666666667,2.6787500000000004,0.12
2022-11-01,14.274583333333332,3.5795833333333333,0.0
2022-11-02,13.691249999999998,2.3358333333333334,0.0
2022-11-03,14.967083333333333,4.0512500000000005,0.0
2022-11-04,15.2025,2.0258333333333334,0.0
2022-11-05,16.917916666666667,1.9729166666666667,0.0
2022-11-06,17.779166666666665,3.592916666666667,0.0
2022-11-07,14.817083333333334,5.7875000000000005,0.0
2022-11-08,12.365,3.5712499999999996,0.0
2022-11-09,11.725416666666668,3.3775,0.0
2022-11-10,11.495,3.922916666666667,0.0
2022-11-11,12.539583333333333,4.287083333333333,0.0
2022-11-12,14.051250000000001,6.260000000000001,0.0
2022-11-13,14.451666666666666,4.8925,0.0
2022-11-14,13.633333333333333,4.673333333333333,0.0
2022-11-15,13.407499999999999,3.6595833333333334,0.0
