Date,CaloriesBurned,AvgTemp,AvgWindSpeed,TotalRain
2024-11-02,383.2480000000001,13.726666666666668,2.365833333333333,0.0
2024-11-03,369.84400000000016,11.64625,5.68125,0.76
2024-11-04,472.3179999999999,10.339166666666666,2.1720833333333336,0.0
2024-11-05,630.7950000000001,10.845833333333331,4.754166666666666,0.0
2024-11-06,487.727,10.855,5.588333333333334,0.0
2024-11-07,583.1160000000001,11.984583333333331,5.942083333333334,0.0
2024-11-08,538.3510000000001,12.7725,5.467083333333334,0.0
2024-11-09,407.3269999999999,11.941249999999998,5.502083333333334,0.61
2024-11-10,415.2449999999997,11.292916666666663,5.431666666666668,2.12
2024-11-11,453.40500000000014,13.145,3.4875000000000003,0.0
2024-11-12,527.366,13.560416666666669,5.678333333333334,0.0
2024-11-13,562.6339999999999,13.141666666666666,4.672916666666667,2.67
2024-11-14,436.2650000000002,13.30625,4.3741666666666665,1.12
2024-11-15,501.3519999999999,11.85851851851852,4.821111111111111,9.81
2024-11-16,428.327,9.939166666666669,7.717083333333334,1.84
2024-11-17,480.3580000000004,11.064583333333331,5.485833333333333,0.0
2024-11-18,392.7990000000001,11.9304,1.8488,0.6000000000000001
2024-11-19,644.6360000000001,11.526666666666666,1.735,0.0
2024-11-20,377.674,13.815,4.264583333333333,0.0
2024-11-21,635.2449999999999,12.3676,6.6968000000000005,24.77
2024-11-22,360.8049999999999,13.3375,4.24875,0.0
2024-11-23,367.8310000000002,7.274166666666667,6.835833333333333,25.78
2024-11-24,383.49299999999977,5.310769230769231,3.957307692307692,3.03
2024-11-25,548.7069999999999,6.279583333333334,3.04625,0.11
2024-11-26,739.1610000000003,7.47,1.4995833333333335,0.0
2024-11-27,481.5810000000001,9.017083333333334,2.4216666666666664,0.6900000000000001
2024-11-28,495.8929999999999,9.137916666666667,1.43875,0.1
2024-11-29,563.7040000000001,10.909999999999998,1.65,0.0
2024-11-30,469.45,11.244166666666668,3.9779166666666663,0.0
2024-12-01,419.1549999999998,11.064583333333331,7.672083333333333,0.32
2024-12-02,593.4099999999999,10.055416666666666,3.9441666666666655,1.4
2024-12-03,595.9889999999983,9.934166666666666,4.8445833333333335,3.43
2024-12-04,529.1930000000001,9.300416666666669,2.315,3.75
2024-12-05,555.6349999999999,9.4124,3.8904,0.11
2024-12-06,336.63700000000006,10.882916666666668,2.637916666666667,0.0
2024-12-07,401.831,13.965416666666668,4.865,0.11
2024-12-08,442.973,13.475416666666666,2.679583333333333,3.19
2024-12-09,384.4869999999999,14.71375,2.513333333333333,6.26
2024-12-10,656.3439999999998,14.21269230769231,3.875384615384616,15.27
2024-12-11,514.5659999999998,9.6464,4.0532,12.14
2024-12-12,441.5449999999998,7.77625,3.4716666666666662,1.72
2024-12-13,605.5659999999996,6.510416666666667,4.50125,1.61
2024-12-14,664.4159999999999,6.33625,2.950416666666667,0.0
2024-12-15,196.9360000000001,8.24076923076923,2.741923076923077,19.71
2024-12-16,487.5810000000001,7.471666666666667,2.765833333333333,2.64
2024-12-17,592.9269999999999,9.167083333333332,4.094166666666667,0.0
2024-12-18,515.8080000000001,9.965833333333334,2.6375,0.0
2024-12-19,464.4109999999998,9.0525,1.43,0.0
2024-12-20,483.55499999999984,11.3875,2.569166666666667,0.0
2024-12-21,353.176,11.332083333333332,2.9145833333333333,4.94
2024-12-22,415.02699999999993,6.515,2.635,3.22
